commercial_district_code,area_size
3110840,107472
3110867,95938
3110868,87679
3110869,194701
3110896,23731
3110897,115911
3110974,35151
3110975,52363
3110976,55724
3111070,59080
3111071,35500
3111072,153254
3111073,179874
3110841,60861
3110842,29278
3110921,35625
3110922,62116
3110924,75392
3110925,71878
3110979,63403
3110980,85828
3110981,67409
3110982,19865
3111040,57097
3111074,49436
3111075,87782
3111076,60068
3110892,259916
3110893,16048
3110966,93545
3110967,68672
