year_quarter_code,commercial_district_code,commercial_district_name,total_household,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
20213,3110583,공덕래미안3차아파트,2,23.0,2.0,0.0,0.0,0.0,12.0,11.0,2.0,0.0,0.0,0.0,0.0,30,127592949
20212,3110583,공덕래미안3차아파트,2,23.0,2.0,0.0,0.0,0.0,12.0,11.0,2.0,0.0,0.0,0.0,0.0,30,127592949
20211,3110583,공덕래미안3차아파트,2,23.0,2.0,0.0,0.0,0.0,12.0,11.0,2.0,0.0,0.0,0.0,0.0,30,127592949
20224,3110567,광흥창역 6번,2,17.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,29,83916667
20223,3110567,광흥창역 6번,2,17.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,29,83916667
20222,3110567,광흥창역 6번,2,17.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,29,83916667
20221,3110567,광흥창역 6번,2,17.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,29,83916667
20214,3110567,광흥창역 6번,2,17.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,29,83916667
20213,3110567,광흥창역 6번,2,20.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,29,74785714
20212,3110567,광흥창역 6번,2,20.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,29,74785714
20211,3110567,광흥창역 6번,2,20.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,29,74785714
20224,3110568,광흥창역 1번,1,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75,816250000
20223,3110568,광흥창역 1번,1,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75,816250000
20222,3110568,광흥창역 1번,1,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75,816250000
20221,3110568,광흥창역 1번,1,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75,816250000
