year_code,quarter_code,commercial_district_code,total_working_population_now,total_working_population_previous,working_population_diff
2022,1,3110126,27,27,0
2022,1,3110135,401,401,0
2022,1,3110115,945,945,0
2022,1,3110133,122,122,0
2022,1,3110130,105,105,0
2022,1,3110170,223,223,0
2022,1,3110172,344,344,0
2022,1,3110173,195,195,0
2022,1,3110165,243,243,0
2022,1,3110185,122,122,0
2022,1,3110205,82,82,0
2022,1,3110265,198,198,0
2022,1,3110263,130,130,0
2022,1,3110272,477,477,0
2022,1,3110307,119,119,0
2022,1,3110310,45,45,0
2022,1,3110288,216,216,0
2022,1,3110313,2069,2069,0
2022,1,3110326,84,84,0
2022,1,3110282,980,980,0
2022,1,3110380,48,48,0
2022,1,3110370,367,367,0
2022,1,3110358,549,549,0
2022,1,3110359,126,126,0
2022,1,3110366,91,91,0
2022,1,3110391,219,219,0
2022,1,3110396,259,259,0
2022,1,3110404,515,515,0
2022,1,3110429,2074,2074,0
2022,1,3110438,230,230,0
2022,1,3110458,385,385,0
2022,1,3110460,969,969,0
2022,1,3110450,774,774,0
2022,1,3110456,967,967,0
2022,1,3110486,491,491,0
2022,1,3110484,499,499,0
2022,1,3110472,335,335,0
2022,1,3110446,163,163,0
2022,1,3110461,39,39,0
2022,1,3110451,1267,1267,0
2022,1,3110502,290,290,0
2022,1,3110520,105,105,0
2022,1,3110526,211,211,0
2022,1,3110511,3646,3646,0
2022,1,3110587,264,264,0
2022,1,3110578,2091,2091,0
2022,1,3110574,173,173,0
2022,1,3110582,56,56,0
2022,1,3110544,1203,1203,0
2022,1,3110566,1690,1690,0
2022,1,3110557,760,760,0
2022,1,3110548,795,795,0
2022,1,3110543,38,38,0
2022,1,3110585,918,918,0
2022,1,3110618,193,193,0
2022,1,3110599,378,378,0
2022,1,3110596,417,417,0
2022,1,3110632,1075,1075,0
2022,1,3110651,377,377,0
2022,1,3110659,844,844,0
2022,1,3110696,2424,2424,0
2022,1,3110697,230,230,0
2022,1,3110698,276,276,0
2022,1,3110722,837,837,0
2022,1,3110684,251,251,0
2022,1,3110688,169,169,0
2022,1,3110730,660,660,0
2022,1,3110728,4560,4560,0
2022,1,3110752,269,269,0
2022,1,3110743,191,191,0
2022,1,3110731,1044,1044,0
2022,1,3110753,617,617,0
2022,1,3110765,889,889,0
2022,1,3110810,403,403,0
2022,1,3110813,286,286,0
2022,1,3110782,127,127,0
2022,1,3110809,112,112,0
2022,1,3110828,3010,3010,0
2022,1,3110824,296,296,0
2022,1,3110852,198,198,0
2022,1,3110851,493,493,0
2022,1,3110831,72,72,0
2022,1,3110827,262,262,0
2022,1,3110841,75,75,0
2022,1,3110900,444,444,0
2022,1,3110866,184,184,0
2022,1,3110857,431,431,0
2022,1,3110875,19,19,0
2022,1,3110873,348,348,0
2022,1,3110891,47,47,0
2022,1,3110892,709,709,0
2022,1,3110899,681,681,0
2022,1,3110905,287,287,0
2022,1,3110910,614,614,0
2022,1,3110906,683,683,0
2022,1,3110001,1048,1048,0
2022,1,3110932,532,532,0
2022,1,3110930,2178,2178,0
2022,1,3110931,94,94,0
2022,1,3110942,3242,3242,0
2022,1,3110943,1122,1122,0
2022,1,3110994,494,494,0
2022,1,3110988,1594,1594,0
2022,1,3111045,36,36,0
2022,1,3111047,111,111,0
2022,1,3111043,32,32,0
2022,1,3111012,732,732,0
2022,1,3111035,531,531,0
2022,1,3111028,424,424,0
2022,1,3111087,197,197,0
2022,1,3111083,411,411,0
2022,1,3111074,147,147,0
2022,1,3111053,6288,6288,0
2022,1,3111061,831,831,0
2022,1,3111056,191,191,0
2022,1,3110036,52,52,0
