year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_sales_now,monthly_sales_previous
2022,4,3110643,강서구다솔마을,10193751830.0,9609994426.0
2022,4,3110644,신광명마을,1321220022.0,1283855651.0
2022,4,3110645,우장산역 4번,13389400443.0,10791089814.0
2022,4,3110646,푸른들청소년도서관,7949326419.0,8315722911.0
2022,4,3110647,화곡역 5번,3185405271.0,2909317090.0
2022,4,3110649,우장산역 1번,7096231326.0,7298640032.0
2022,4,3110650,우장산힐스테이트,1080473425.0,903917298.0
2022,4,3110651,화원중학교,6980647086.0,5133618397.0
2022,4,3110652,양천향교역 2번,2447285635.0,2149051245.0
2022,4,3110653,화곡역 2번,2011988139.0,1870120328.0
2022,4,3110654,까치산역 4번,9624147943.0,8498765009.0
2022,4,3110655,발산역 5번,7186890681.0,6324223442.0
2022,4,3110656,까치산역 3번,14594439429.0,11379039103.0
2022,4,3110657,양천향교역 5번,19151694202.0,16241790997.0
2022,4,3110658,화곡초등학교,3209192363.0,3424155542.0
2022,4,3110659,화곡역 4번,10817393197.0,8474941515.0
2022,4,3110660,등촌3동주민센터,28401387539.0,24563258821.0
2022,4,3110661,강서새말어린이공원,272284441.0,322729202.0
2022,4,3110662,까치산역 1번,5002113321.0,4662049180.0
2022,4,3110663,우장산롯데캐슬아파트앞,2530448197.0,3177733817.0
2022,4,3110664,강서구청옆,1157488572.0,568611948.0
2022,4,3110665,곰달래도서관,3816088074.0,5222926654.0
2022,4,3110666,KC대학교,3468965382.0,3633691504.0
2022,4,3110668,화곡2동주민센터,5472616754.0,5202565431.0
2022,4,3110670,신곡초등학교,1531330755.0,1505328942.0
2022,4,3110671,등촌1동주민센터,18212147954.0,22437535446.0
2022,4,3110672,백석중학교,34892308.0,34069412.0
2022,4,3110673,뜸부기어린이공원,6347759255.0,5358594300.0
2022,4,3110675,화곡4동주민센터,1297196270.0,1254128476.0
2022,4,3110676,등촌역 7번,872264610.0,723464401.0
2022,4,3110677,등촌역 1번,95370893.0,121956830.0
2022,4,3110678,염창무학아파트,574436618.0,735990941.0
2022,4,3110679,염창역 2번,2278668075.0,1906617934.0
2022,4,3110680,온수역 5번(온수산업단지),2691805505.0,2149254191.0
2022,4,3110681,온수역 1번,204446432.0,165072555.0
2022,4,3110683,오류고등학교,1118626170.0,1482527234.0
2022,4,3110684,서울공연예술고등학교,1072377293.0,970638293.0
2022,4,3110686,수궁동주민센터,2956508803.0,2378326325.0
2022,4,3110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",260779498.0,259726870.0
2022,4,3110688,오류지구대,1161302000.0,1049986637.0
2022,4,3110689,오류동역 3번,2136411516.0,1856475359.0
2022,4,3110690,오류2동버들시장,10424676785.0,9119776277.0
2022,4,3110691,개봉중학교,3057461729.0,3426327164.0
2022,4,3110692,큰굴다리,457567373.0,398401137.0
2022,4,3110693,오류동역 4번,401171482.0,291386288.0
2022,4,3110694,세곡초등학교,4365672634.0,2698962535.0
2022,4,3110695,개봉1동주민센터,7674570399.0,8270463857.0
2022,4,3110696,오류동역 1번,703681351.0,624392172.0
2022,4,3110697,개봉3동주민센터,859526271.0,990322422.0
2022,4,3110698,개웅초등학교(개웅중학교),765825718.0,623572823.0
2022,4,3110699,덕의초등학교,1394391633.0,1534284515.0
2022,4,3110700,고척초등학교,1445295657.0,2012602173.0
2022,4,3110701,고척동성당,3462261548.0,3226268969.0
2022,4,3110702,개봉초등학교,811740479.0,786929217.0
2022,4,3110703,개봉역,11672304667.0,6675212366.0
2022,4,3110706,그라운드 고척,8918957406.0,6905332670.0
2022,4,3110707,구로창업지원센터,2227542135.0,1916937385.0
2022,4,3110708,화원어린이공원,220192856.0,124475730.0
2022,4,3110709,구로119안전센터,1546836279.0,1292859481.0
2022,4,3110710,남구로역 3번,10522781771.0,8395849755.0
2022,4,3110711,구로초등학교,3565384301.0,2525423902.0
2022,4,3110712,남구로역 5번,4201584937.0,3293261252.0
2022,4,3110713,구로보건소,7111616899.0,7730996885.0
2022,4,3110714,구로4동주민센터,16130797854.0,15412732111.0
2022,4,3110715,구로구민회관,13292578.0,786379.0
2022,4,3110716,구로나눔길,2903319362.0,3159774267.0
2022,4,3110717,남구로역 2번,10910730222.0,10413378563.0
2022,4,3110718,한국SGI본부,13922611171.0,9996612876.0
2022,4,3110719,영서중학교,32901483.0,36300315.0
2022,4,3110720,대림역 2번,4254987346.0,3539022400.0
2022,4,3110721,가리봉파출소,706093760.0,714052319.0
2022,4,3110722,G타워,2144036397.0,2071960997.0
2022,4,3110723,가산디지털단지역 1번 출입구,1418794020.0,1097952708.0
2022,4,3110724,금천구립가산도서관,717207735.0,695101657.0
2022,4,3110725,가산동주민센터,8969624012.0,9000690637.0
2022,4,3110726,금천철쭉어린이공원(금하마을),598081929.0,631620493.0
