기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20232,A,골목상권,3110640,방화역 1번,CS100001,한식음식점,908544966,26056,674211990,234332976,109264725,127278188,125008449,144735642,167924986,157801579,76531397,1316422,13733352,211912941,79576935,486465356,115539960,535500780,252979840,1485768,39105276,110289413,172645502,214688382,250266282,20889,5167,3875,4056,4224,4288,4446,3592,1575,32,1064,9936,2867,10605,1552,15577,8251,52,1463,3580,5062,5836,7837
20232,A,골목상권,3110640,방화역 1번,CS100007,치킨전문점,53064513,1653,36458970,16605543,7599899,6656630,6140999,5808128,10253314,10495203,6110340,1379664,0,2567012,4406962,25813656,18897219,30862471,18712866,118655,4405370,6115118,14822331,16620474,7493389,1094,559,226,200,172,191,305,311,248,48,0,96,160,848,501,1000,561,12,148,228,374,533,268
20232,A,골목상권,3110640,방화역 1번,CS100008,분식전문점,688030645,63707,444514181,243516464,86706587,94835729,68847833,95222811,98901221,138680614,104835850,31200363,92316577,157125765,92998952,229820429,84568559,349620348,286721045,5251298,68677570,130948704,175096531,161444847,94922443,41988,21719,8589,8995,6061,9010,9333,11304,10415,596,10363,17158,10119,22036,3435,31729,29463,597,6053,12576,15946,15769,10252
20232,A,골목상권,3110640,방화역 1번,CS100009,호프-간이주점,286474326,6128,207642095,78832231,31157353,36934876,37464482,39603541,62481843,51753533,27078698,57912784,0,1148626,192584,78290932,148929400,175050678,91601243,3600635,27886863,80024188,89912694,47812438,17415104,4444,1684,715,714,853,928,1234,1100,584,1176,0,97,21,1727,3107,3852,1946,83,633,1706,1754,1156,468
20232,A,골목상권,3110640,방화역 1번,CS100010,커피-음료,285477239,47361,196413239,89064000,39869043,41942043,37694928,35829643,41077582,45417944,43646056,0,36505700,104331449,77786800,55729649,11123641,128261947,130237893,3834288,35233590,71924209,63006983,51189418,33311353,32465,14896,6967,6366,6320,6015,6797,7626,7270,0,7962,14467,12114,10382,2436,23503,21933,842,6684,12500,10899,8922,5589
20232,A,골목상권,3110641,공항고등학교,CS100001,한식음식점,460583353,8781,348059332,112524021,62646058,78970807,63736688,65323811,77381968,78241264,34282757,5794074,707627,53351102,18860846,242950240,138919464,307674853,92321773,114799,23848367,95128997,117736811,95322275,67845376,6932,1849,1364,1532,1256,1261,1519,1359,490,40,40,2099,549,4046,2007,5891,1923,5,584,1628,2269,2043,1288
20232,A,골목상권,3110641,공항고등학교,CS100010,커피-음료,54010217,7358,37320525,16689692,6545110,6743087,7736395,7283960,9011973,9209354,7480338,0,3792086,18090805,18620854,13415645,90827,25364889,27615428,0,5136573,18353195,17400087,7718769,4371694,5369,1989,966,912,1061,1184,1246,1055,934,0,576,2298,2596,1879,9,3328,3926,0,649,2851,2418,821,517
20232,A,골목상권,3110643,강서구다솔마을,CS100001,한식음식점,2239458710,74455,1990220428,249238282,336449787,359167138,467714460,386139122,440749921,202519996,46718286,124956337,134213021,1223497737,201261431,313856225,241673959,1016573316,364657739,1738010,43639697,205401319,402317424,483689441,244445163,65302,9153,12999,12411,13597,13414,12881,7679,1474,4659,6084,36931,9333,12361,5087,42532,15411,88,2001,9064,15898,20141,10756
20232,A,골목상권,3110643,강서구다솔마을,CS100002,중식음식점,176830337,7168,123171173,53659164,12715682,26806361,27277492,28557367,27814271,30600433,23058731,6735194,6528878,91073832,16717412,45971878,9803143,102770439,36061111,165232,7725691,24931652,48024767,38206888,19777321,5127,2041,617,1156,1117,1139,1098,1117,924,299,308,3498,812,1881,370,4444,1456,4,317,1050,1937,1737,853
20232,A,골목상권,3110643,강서구다솔마을,CS100010,커피-음료,18366222,1440,16114795,2251427,3646676,3758090,3067322,2118586,3524121,599066,1652361,0,0,13166601,3641534,1516092,41995,8991135,6138072,0,1318117,3620965,5760977,3232730,1196418,1225,215,275,290,258,170,232,69,146,0,0,934,309,188,9,823,445,0,189,291,420,300,68
