기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20204,A,골목상권,3110514,서대문우체국,667401,316350,351051,54548,304787,116956,62828,52801,75483,168993,137128,80231,77335,115285,88428,94558,96805,96343,94237,95990,95711,93759
20204,A,골목상권,3110513,연희파출소,385661,177997,207663,55321,80447,66826,62505,54299,66263,67291,78908,59758,60051,75704,43948,56651,57017,57408,55699,55227,52343,51316
20204,A,골목상권,3110512,연희지하차도,769386,342963,426423,118386,105462,112558,126382,125953,180644,236047,166938,79340,75928,107834,103299,108676,110134,109366,108411,108509,110130,114162
20204,A,골목상권,3110511,연희초등학교,832689,417894,414796,58137,357055,130148,80124,77886,129342,244988,173281,89153,84451,125941,114875,120095,121457,120860,117903,117672,116110,118591
20204,A,골목상권,3110510,홍연시장,997704,438285,559419,132941,123107,143870,168914,152488,276384,338283,218871,99309,91728,123026,126487,138317,141452,139006,140901,140286,146724,151021
20204,A,골목상권,3110509,연희대우아파트앞,911521,407890,503629,97259,292556,185927,119170,89292,127318,248560,188505,102796,106809,145349,119501,127740,128265,128726,128178,130477,134529,133605
20204,A,골목상권,3110508,서연중학교,676968,307127,369841,71708,151761,133221,106660,84375,129242,181040,141914,81358,78817,108696,85144,95957,96173,96228,95227,95303,98172,99908
20204,A,골목상권,3110507,명지대학교,1819240,834225,985015,271927,407756,250834,269227,239001,380497,500467,364546,204895,197923,302359,249050,257900,258781,258847,256257,258249,263293,265911
20204,A,골목상권,3110506,연희임광아파트,189773,85262,104512,17771,46480,39324,28118,22135,35945,39736,39961,25464,25696,35670,23245,26276,26681,26535,26891,26994,28160,28237
20204,A,골목상권,3110505,홍남교남측,70160,31920,38240,8567,9587,11615,12838,10331,17219,13494,14437,9054,9768,14173,9233,9643,9716,9672,9760,9675,10595,11097
20204,A,골목상권,3110504,명지전문대,110835,54256,56580,26383,16892,13549,18870,13721,21419,28256,24077,13553,12461,17975,14515,15711,15833,15715,15597,15412,16079,16488
20204,A,골목상권,3110503,명지대학교교회,1627800,750939,876862,269530,454912,199776,199801,210932,292849,429946,349879,197570,189870,254116,206420,232384,234028,232621,230941,228308,230489,239030
