기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
20231,A,골목상권,3110115,상왕십리역 3번,24,1,,,1,1,1,,,,,,,,,,,,,2
20232,A,골목상권,3110115,상왕십리역 3번,24,1,,,1,1,1,,,,,,,,,,,,,2
20233,A,골목상권,3110115,상왕십리역 3번,24,1,,,1,1,1,,,,,,,,,,,,,2
20231,A,골목상권,3110116,청계천박물관,14,3,1,,,,,,,,,,,,,,,,,2
20232,A,골목상권,3110116,청계천박물관,14,3,1,,,,,,,,,,,,,,,,,2
20233,A,골목상권,3110116,청계천박물관,14,3,1,,,,,,,,,,,,,,,,,2
20231,A,골목상권,3110117,성동구보건소,6,,,,,,,,,,,,,,,,,,,3
20232,A,골목상권,3110117,성동구보건소,6,,,,,,,,,,,,,,,,,,,3
20233,A,골목상권,3110117,성동구보건소,6,,,,,,,,,,,,,,,,,,,3
20231,A,골목상권,3110118,왕십리역 9번,17,1,,,1,3,,,,,,,,,,,,,,2
20232,A,골목상권,3110118,왕십리역 9번,17,1,,,1,3,,,,,,,,,,,,,,2
20233,A,골목상권,3110118,왕십리역 9번,17,1,,,1,3,,,,,,,,,,,,,,2
20231,A,골목상권,3110119,마장지하차도,1,,,,,,,,,,,,,,,,,,,1
20232,A,골목상권,3110119,마장지하차도,1,,,,,,,,,,,,,,,,,,,1
20233,A,골목상권,3110119,마장지하차도,1,,,,,,,,,,,,,,,,,,,1
20231,A,골목상권,3110120,서울숲카페거리,1,,,,,,,,,,,,,,,,,,,
20232,A,골목상권,3110120,서울숲카페거리,1,,,,,,,,,,,,,,,,,,,
20233,A,골목상권,3110120,서울숲카페거리,1,,,,,,,,,,,,,,,,,,,
20231,A,골목상권,3110121,한양대역 4번,2,,1,,,,,,,,,,,,,,,,,1
20232,A,골목상권,3110121,한양대역 4번,2,,1,,,,,,,,,,,,,,,,,1
20233,A,골목상권,3110121,한양대역 4번,2,,1,,,,,,,,,,,,,,,,,1
20231,A,골목상권,3110122,마장역 2번,28,,2,,,3,,,,,,,,,,,,,,7
20232,A,골목상권,3110122,마장역 2번,28,,2,,,3,,,,,,,,,,,,,,7
20233,A,골목상권,3110122,마장역 2번,28,,2,,,3,,,,,,,,,,,,,,7
20231,A,골목상권,3110123,마장역 3번,13,1,,,,2,1,,,,,,,,,,,,1,3
