"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20221","A","골목상권","3110998","은곡마을(은곡마을공원)","3992672","08","1595382299","432404966","189675691","113198174","218797824","261152890","54289207","47557460","210423285","67882802"
"20221","A","골목상권","3110999","윗방죽마을공원","3628024","07","2452359992","665388473","292890622","176759648","338825585","408167058","83529036","73384418","307888737","105526415"
"20221","A","골목상권","3111000","대왕초등학교(세곡동사거리서남측)","3187113","07","996235613","281805938","117622092","69315069","140647287","155937157","33058308","30350053","125774186","41725523"
"20221","A","골목상권","3111001","아래방죽마을공원(율현초등학교)","3481243","07","1812255556","499401571","215356850","129078944","252828815","296096816","61236651","54639777","226853665","76762467"
"20221","A","골목상권","3111002","한국교통안전공단 강남자동차검사소","6763932","09","","","","","","","","","",""
"20221","A","골목상권","3111003","삼전역 4번","3061891","07","17781533067","4251464097","2187805337","1327030295","2093179901","3157147927","673667824","531746641","2787807543","771683502"
"20221","A","골목상권","3111004","삼전역 1번","3930353","08","23556005856","5664672952","2887007528","1756625022","2780422692","4172368515","874857474","709085894","3690886278","1020079501"
"20221","A","골목상권","3111005","삼전역 3번","2920894","06","16264836018","3925663586","1980441838","1198587099","1907401198","2850537112","601788096","488194260","2615017073","697205756"
"20221","A","골목상권","3111006","석촌고분역 1번","3675702","07","19136462320","4562956184","2334649927","1418225488","2230520053","3393438750","711880707","572981133","3090914751","820895327"
"20221","A","골목상권","3111007","석촌고분역 4번","2753184","06","14250368687","3476417812","1730340682","1039996568","1686859817","2486872599","526227283","427300937","2267840642","608512347"
"20221","A","골목상권","3111008","석촌고분역 3번","4079991","08","13892817450","3428197221","1691218650","1022134360","1681043285","2431227917","510870678","416999897","2112063868","599061574"
"20221","A","골목상권","3111009","송파책박물관","4516875","08","5646196445","1398323746","691135225","415523888","694276812","990034087","214643241","167397455","831082451","243779540"
"20221","A","골목상권","3111010","석촌역 7번","3086756","07","15194150376","3703806848","1858398538","1130642885","1805141159","2675428285","564410374","459403880","2338922778","657995629"
"20221","A","골목상권","3111011","잠실나루역","6007882","09","6652399728","1520727642","811361901","489563689","793489220","1244667439","241147674","186405484","1070858134","294178545"
"20221","A","골목상권","3111012","석촌역 6번","3014157","07","12218744248","2997225696","1490618195","902680264","1465815686","2141791593","445344287","366739107","1876490948","532038472"
"20221","A","골목상권","3111013","송파나루역 1번(송리단길)","3114014","07","14698177591","3562771879","1809151913","1103198798","1736068797","2578317986","568590117","444058066","2262624994","633395041"
"20221","A","골목상권","3111014","송파나루역 2번","3018010","07","11646381152","2768896042","1436894686","892026338","1359834199","2039864247","479232584","346175132","1830896145","492561779"
"20221","A","골목상권","3111015","석촌역 3번","2936575","06","17699780924","4336407256","2169709435","1306268647","2122871570","3084339561","663700163","529360691","2718282864","768840737"
"20221","A","골목상권","3111016","송파역 2번","3861772","08","8846693445","2170863799","1084696422","630062181","1081684697","1531615630","336866659","252188470","1372614804","386100783"
"20221","A","골목상권","3111017","송파나루역 3번","2868232","06","8807816040","2145203122","1080873066","649676187","1061923133","1543465600","334344287","259969570","1349869196","382491879"
"20221","A","골목상권","3111018","풍납초등학교(풍납백제문화공원)","3048728","07","5939753733","1689724340","703386489","423443878","816714856","896150854","212479412","184560352","769790562","243502990"
"20221","A","골목상권","3111019","한성백제역 3번","2927619","06","13502136915","3182416728","1666293375","1010866310","1582943894","2372799699","561675234","390795077","2165325901","569020697"
"20221","A","골목상권","3111020","방이동고분군(방산고등학교)","4744640","08","7156819640","1681748275","881108101","520431919","858403077","1302161344","263579542","200016545","1129528781","319842056"
"20221","A","골목상권","3111021","방이역 4번","3573805","07","16960682487","4006599097","2092031022","1239373609","2021364135","3010153740","674894408","481293630","2704278834","730694012"
"20221","A","골목상권","3111022","석촌중학교(방이육교)","3718011","07","12411046506","3008382216","1530486635","907195011","1515427465","2195438133","471724095","356406299","1878074365","547912287"
"20221","A","골목상권","3111023","문정역 1번","2856899","06","7603477861","1838116064","924864820","554138525","914617537","1340873538","281648973","221031555","1200943160","327243689"
"20221","A","골목상권","3111024","경찰병원역 4번(건너말공원)","2916972","06","7344330637","1784749098","897734730","536322763","884394168","1279338177","282315327","213666571","1151232836","314576967"
"20221","A","골목상권","3111025","경찰병원역 3번","3262452","07","10408713340","2526641233","1261610876","729470843","1236838441","1786198462","380641672","297691410","1740934116","448686287"
