year_code,quarter_code,commercial_district_code,commercial_district_name,apartment_complexes,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
2023,1,3110364,미아역 8번,66,520.0,74.0,1.0,0.0,0.0,127.0,373.0,95.0,0.0,0.0,0.0,0.0,49,148698823
2023,2,3110364,미아역 8번,66,520.0,74.0,1.0,0.0,0.0,127.0,373.0,95.0,0.0,0.0,0.0,0.0,49,148698823
2023,3,3110364,미아역 8번,66,520.0,74.0,1.0,0.0,0.0,127.0,373.0,95.0,0.0,0.0,0.0,0.0,49,148698823
2023,1,3110365,미아역 5번,81,634.0,41.0,3.0,0.0,0.0,50.0,471.0,155.0,2.0,0.0,0.0,0.0,50,160998647
2023,2,3110365,미아역 5번,81,634.0,41.0,3.0,0.0,0.0,50.0,471.0,155.0,2.0,0.0,0.0,0.0,50,160998647
2023,3,3110365,미아역 5번,81,634.0,41.0,3.0,0.0,0.0,50.0,471.0,155.0,2.0,0.0,0.0,0.0,50,160998647
2023,1,3110358,인수동 우편취급국,90,732.0,64.0,0.0,0.0,0.0,200.0,558.0,38.0,0.0,0.0,0.0,0.0,50,123805536
2023,2,3110358,인수동 우편취급국,90,732.0,64.0,0.0,0.0,0.0,200.0,558.0,38.0,0.0,0.0,0.0,0.0,50,123805536
2023,3,3110358,인수동 우편취급국,90,732.0,64.0,0.0,0.0,0.0,200.0,558.0,38.0,0.0,0.0,0.0,0.0,50,123805536
2023,1,3110359,수유시장옆,129,1182.0,85.0,2.0,0.0,0.0,322.0,937.0,10.0,0.0,0.0,0.0,0.0,50,124294071
2023,2,3110359,수유시장옆,129,1182.0,85.0,2.0,0.0,0.0,322.0,937.0,10.0,0.0,0.0,0.0,0.0,50,124294071
2023,3,3110359,수유시장옆,129,1182.0,85.0,2.0,0.0,0.0,322.0,937.0,10.0,0.0,0.0,0.0,0.0,50,124294071
2023,1,3110367,강북구청,14,93.0,21.0,0.0,1.0,0.0,20.0,94.0,1.0,0.0,0.0,0.0,0.0,56,125210357
2023,2,3110367,강북구청,14,93.0,21.0,0.0,1.0,0.0,20.0,94.0,1.0,0.0,0.0,0.0,0.0,56,125210357
2023,3,3110367,강북구청,14,93.0,21.0,0.0,1.0,0.0,20.0,94.0,1.0,0.0,0.0,0.0,0.0,56,125210357
2023,1,3110368,송천초등학교,35,132.0,13.0,2.0,0.0,0.0,5.0,91.0,42.0,6.0,3.0,0.0,0.0,48,196670626
2023,2,3110368,송천초등학교,35,132.0,13.0,2.0,0.0,0.0,5.0,91.0,42.0,6.0,3.0,0.0,0.0,48,196670626
2023,3,3110368,송천초등학교,35,132.0,13.0,2.0,0.0,0.0,5.0,91.0,42.0,6.0,3.0,0.0,0.0,48,196670626
2023,1,3110369,성신여대운정그린캠퍼스,70,567.0,123.0,3.0,0.0,0.0,207.0,380.0,88.0,18.0,0.0,0.0,0.0,50,136196528
2023,2,3110369,성신여대운정그린캠퍼스,70,567.0,123.0,3.0,0.0,0.0,207.0,380.0,88.0,18.0,0.0,0.0,0.0,50,136196528
2023,3,3110369,성신여대운정그린캠퍼스,70,567.0,123.0,3.0,0.0,0.0,207.0,380.0,88.0,18.0,0.0,0.0,0.0,50,136196528
2023,1,3110370,도봉세무서,43,354.0,14.0,0.0,0.0,0.0,36.0,231.0,101.0,0.0,0.0,0.0,0.0,51,165323908
2023,2,3110370,도봉세무서,43,354.0,14.0,0.0,0.0,0.0,36.0,231.0,101.0,0.0,0.0,0.0,0.0,51,165323908
2023,3,3110370,도봉세무서,43,354.0,14.0,0.0,0.0,0.0,36.0,231.0,101.0,0.0,0.0,0.0,0.0,51,165323908
