commercial_district_code,commercial_district_name,latitude,longitude,gu_code,gu_name,dong_code,dong_name,area_size
3110265,망우역 1번,127.0926528164819,37.59935166722568,11260,중랑구,11260580,상봉1동,164846
3110266,면목동우체국,127.09163646470414,37.5831706467708,11260,중랑구,11260575,면목3?8동,114047
3110267,망우역 2번,127.08941586511447,37.60077772897528,11260,중랑구,11260580,상봉1동,125682
3110268,망우3동주민센터,127.09444384127862,37.591844991057506,11260,중랑구,11260660,망우3동,71237
3110269,용마문화복지센터,127.09494877873335,37.5882316079015,11260,중랑구,11260575,면목3?8동,50066
3110270,혜원여고,127.09729711212769,37.59177960411285,11260,중랑구,11260660,망우3동,35644
3110271,신내역 1번,127.0989590897488,37.615555346402026,11260,중랑구,11260680,신내1동,112596
3110274,서일대학교,127.09875482708568,37.58956195338933,11260,중랑구,11260575,면목3?8동,164098
3110275,하나은행 망우동지점,127.0997288883947,37.59829174113322,11260,중랑구,11260655,망우본동,35477
3110276,신내IC북측,127.10231546366488,37.61829148719481,11260,중랑구,11260680,신내1동,118914
3110320,KB국민은행 종암동지점,127.03694796929915,37.59493135476554,11290,성북구,11290705,종암동,52907
3110322,장위1동주민센터,127.04179435821293,37.61519300306757,11290,성북구,11290760,장위1동,84262
3110323,상월곡역 1번,127.04465432991722,37.605821668355986,11290,성북구,11290725,월곡2동,83644
3110280,북정마을,126.99019424206371,37.59317078671974,11290,성북구,11290525,성북동,151078
3110281,길상사,126.99406637755725,37.597531843936665,11290,성북구,11290525,성북동,244583
3110282,국민대학교앞,126.99879952100844,37.607866347041465,11290,성북구,11290640,정릉3동,69438
3110283,성북초등학교앞,126.99933194422123,37.59272970611246,11290,성북구,11290525,성북동,42242
3110284,정릉북한산국립공원입구,126.99904854031827,37.6185971259526,11290,성북구,11290650,정릉4동,57402
3110285,홍대부중,127.00138143045521,37.5941893066819,11290,성북구,11290525,성북동,90071
3110286,한성대입구역 5번,127.00302311738922,37.58981045467751,11290,성북구,11290525,성북동,112177
3110287,정릉3동주민센터,127.00364681020984,37.609343919599404,11290,성북구,11290640,정릉3동,60168
3110288,동구여중,127.00529903995135,37.59111681326029,11290,성북구,11290525,성북동,82760
3110289,북한산보국문역 2번,127.00694249312983,37.60894733639276,11290,성북구,11290640,정릉3동,162270
3110290,북한산보국문역 1번,127.00902691154116,37.61339808159277,11290,성북구,11290650,정릉4동,45706
3110298,솔숲어린이공원,127.0156168492766,37.60450462764689,11290,성북구,11290620,정릉1동,37902
3110299,정릉역 1번,127.01798309800381,37.60190042877038,11290,성북구,11290620,정릉1동,140910
3110300,삼선동주민센터,127.01956520434038,37.58927728633153,11290,성북구,11290600,안암동,155662
3110301,성신여대입구역 7번,127.01836664037195,37.59585472017824,11290,성북구,11290575,동선동,107374
3110302,보문역 8번,127.01923538316017,37.58356504559915,11290,성북구,11290610,보문동,67532
3110303,성신여대입구역 1번,127.02110643481099,37.59415138795524,11290,성북구,11290575,동선동,109299
3110304,보문역 4번,127.02097984870431,37.58691644266694,11290,성북구,11290600,안암동,93288
3110305,보문역 5번,127.02214528008177,37.58440245928824,11290,성북구,11290600,안암동,147424
3110306,미아초등학교,127.02254882002873,37.6085309312644,11290,성북구,11290660,길음1동,32625
3110307,길음역 7번,127.02314770784841,37.60415200470216,11290,성북구,11290660,길음1동,55213
3110308,길음역 8번,127.02441709427482,37.607269174073934,11290,성북구,11290685,길음2동,84969
3110309,대광초등학교,127.02461228720487,37.58097819555142,11290,성북구,11290600,안암동,72678
3110291,한성대입구역 3번,127.00995195817097,37.58566550742506,11290,성북구,11290555,삼선동,175682
3110292,정릉역 2번,127.01129074465919,37.60420779405496,11290,성북구,11290630,정릉2동,21672
3110293,삼선중학교,127.01040562471103,37.59134172158123,11290,성북구,11290525,성북동,79830
3110294,서경대학교,127.01227709840207,37.61092006857486,11290,성북구,11290650,정릉4동,193247
3110295,정릉우체국,127.01242366605265,37.606910650147945,11290,성북구,11290630,정릉2동,153101
3110296,성신여대입구역 4번,127.01493520393063,37.59370183429791,11290,성북구,11290575,동선동,59460
3110297,경동고등학교,127.01419815660745,37.588205872807336,11290,성북구,11290555,삼선동,167263
3110310,길음역 10번,127.02635266731652,37.604340540516574,11290,성북구,11290685,길음2동,21941
3110312,안암역 2번,127.0290871611702,37.58868967882518,11290,성북구,11290600,안암동,85118
3110313,안암역 3번,127.02969670042593,37.58398634417268,11290,성북구,11290600,안암동,82289
3110314,종암경찰서,127.03238736566581,37.60114052292245,11290,성북구,11290705,종암동,84094
3110315,종암아이파크2차,127.03359734683603,37.59732899315395,11290,성북구,11290705,종암동,92801
3110316,숭곡초등학교,127.03438366024915,37.60814966101142,11290,성북구,11290715,월곡1동,180619
3110317,종암중학교,127.03416167700084,37.59327436938832,11290,성북구,11290705,종암동,91409
3110318,KT월곡지사,127.03499312523303,37.60366255226508,11290,성북구,11290715,월곡1동,76869
3110319,종암동주민센터,127.03595359013545,37.59923839992779,11290,성북구,11290705,종암동,98376
3110353,수유동우체국,127.0161921338146,37.6462202452816,11305,강북구,11305625,수유2동,75187
3110354,삼각산119안전센터,127.01691136280665,37.61992037016402,11305,강북구,11305575,삼각산동,17571
3110348,강북문화예술회관,127.01467296968984,37.64216601575762,11305,강북구,11305660,인수동,122433
