year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_average_income_amount,expenditure_total_amount
2023,1,3110310,길음역 10번,2635191.0,25871238.0
2023,1,3110312,안암역 2번,3029259.0,630137365.0
2023,1,3110313,안암역 3번,2933763.0,598267418.0
2023,1,3110314,종암경찰서,2228729.0,605001037.0
2023,1,3110315,종암아이파크2차,2481802.0,1492627885.0
2023,1,3110316,숭곡초등학교,2338258.0,1480103399.0
2023,1,3110317,종암중학교,2653840.0,849284949.0
2023,1,3110318,KT월곡지사,2455269.0,598604830.0
2023,1,3110319,종암동주민센터,2546253.0,1269724257.0
2023,1,3110320,KB국민은행 종암동지점,2695914.0,423302361.0
2023,1,3110322,장위1동주민센터,2239234.0,1269569146.0
2023,1,3110323,상월곡역 1번,2305196.0,830827248.0
2023,1,3110325,장곡초등학교,2313834.0,1370825532.0
2023,1,3110326,장위동성당,2403594.0,701189960.0
2023,1,3110327,상월곡역 2번,2271485.0,1524825637.0
2023,1,3110328,상월곡역 3번,2418189.0,947827164.0
2023,1,3110329,우리은행체육관,2267303.0,1185773622.0
2023,1,3110330,돌곶이역 1번,2343085.0,867579842.0
2023,1,3110331,돌곶이역 8번,2180717.0,1054314080.0
2023,1,3110332,돌곶이역 3번,2494905.0,349927022.0
2023,1,3110333,돌곶이역 5번,2417894.0,565279510.0
2023,1,3110334,석관중앙교회,2155704.0,930124441.0
2023,1,3110335,석계역 7번,2308757.0,1558580910.0
2023,1,3110336,석관고등학교,2178041.0,875846109.0
2023,1,3110337,아카데미하우스,2464337.0,1500530983.0
2023,1,3110340,인수중학교,2274868.0,856550736.0
2023,1,3110341,북한산우이역 2번,2488996.0,1054827745.0
2023,1,3110342,국립재활원,2201024.0,1361805576.0
2023,1,3110343,무너미어린이공원,2229837.0,2282052450.0
2023,1,3110344,화계중학교,2202243.0,603672511.0
2023,1,3110345,솔밭공원역 2번,2321933.0,1497479873.0
2023,1,3110346,4.19민주묘지역 2번,2183976.0,555717873.0
2023,1,3110348,강북문화예술회관,2285224.0,1530865675.0
2023,1,3110349,화계역 2번,2198275.0,583185740.0
2023,1,3110350,가오리역 2번,2197906.0,1300588720.0
